reach_id,guidebook_id,page,run,url
5537,11,,,https://www.dreamflows.com/xlist-or.php#Site763
5538,2,"147,148","102,103",
5538,3,"184,185","108,109",
5538,4,"189,190","107,108",
5538,7,252,79,
5538,9,64,,
5538,10,,,https://www.oregonkayaking.net/creeks/uq/uq.html
5538,11,,,https://www.dreamflows.com/xlist-or.php#Site289
5540,2,102,60,
5540,3,130,64,
5540,4,136,68,
5540,7,25,3.2,
5540,10,,,https://www.oregonkayaking.net/creeks/upper_brice/upper_brice.html
5541,10,,,https://www.oregonkayaking.net/rivers/salmonexplore/salmon.html
5543,10,,,https://www.oregonkayaking.net/creeks/henline/henline.html
5544,10,,,https://www.oregonkayaking.net/rivers/three_falls/three_falls.html
5547,10,,,https://www.oregonkayaking.net/creeks/lsilver/lsilver.html
5548,2,156,111,
5548,3,196,117,
5548,4,200,115,
5548,7,300,68,
5548,9,71,,
5548,10,,,https://www.oregonkayaking.net/rivers/niagara/niagara.html
5548,11,,,https://www.dreamflows.com/xlist-or.php#Site241
5549,10,,,https://www.oregonkayaking.net/creeks/nohorn/nohorn.html
5550,2,292,,
5550,3,77,28,
5550,7,46,9,
5550,11,,,https://www.dreamflows.com/xlist-or.php#Site210
5552,10,,,https://www.oregonkayaking.net/creeks/upper_butte/upper_butte.html
5552,11,,,https://www.dreamflows.com/xlist-or.php#Site716
5553,11,,,https://www.dreamflows.com/xlist-or.php#Site763
5555,2,129,86,
5555,3,166,93,
5555,4,174,97,
5555,7,34,6,
5555,9,78,,
5555,10,,,https://www.oregonkayaking.net/rivers/uucala/uucala.html
5557,2,73,37,
5557,3,93,40,
5557,4,97,43,
5557,7,368,83,
5557,11,,,https://www.dreamflows.com/xlist-or.php#Site207
5558,2,72,36,
5558,3,91,39,
5558,4,95,42,
5558,7,368,83,
5559,10,,,https://www.oregonkayaking.net/creeks/sweet/sweet.html
5560,11,,,https://www.dreamflows.com/xlist-or.php#Site228
5561,2,154,109,
5561,3,193,115,
5561,4,196,113,
5561,7,290,67,
5561,9,70,,
5562,2,153,108,
5562,3,192,114,
5562,4,195,112,
5562,7,290,67,
5564,3,207,124,
5564,4,214,123,
5564,10,,,https://www.oregonkayaking.net/rivers/trf_mollala/trf_mollala.html
5564,11,,,https://www.dreamflows.com/xlist-or.php#Site646
5565,2,264,195,
5565,3,343,215,
5565,4,353,207,
5565,7,124,28,
5565,11,,250,https://www.dreamflows.com/reachMap/index.php?rid=250&num=3
5570,2,291,,
5570,10,,,https://www.oregonkayaking.net/creeks/boulder/boulder.html
5571,11,,,https://www.dreamflows.com/xlist-or.php#Site767
5572,10,,,https://www.oregonkayaking.net/creeks/lowerjack/lowerjack.html
5573,10,,,https://www.oregonkayaking.net/creeks/rickreall/rickreall.html
5576,10,,,https://www.oregonkayaking.net/rivers/black_rock_fork/black_rock_fork.html
5577,10,,,https://www.oregonkayaking.net/creeks/french/french.html
5580,11,,,https://www.dreamflows.com/xlist-or.php#Site238
5581,10,,,https://www.oregonkayaking.net/rivers/mf_hood/mf_hood.html
5582,10,,,https://www.oregonkayaking.net/rivers/nf_salmonberry/nf_salmonberry.html
5583,7,231,54,
5583,11,,,https://www.dreamflows.com/xlist-or.php#Site766
5584,2,91,54,
5584,3,116,58,
5584,7,415,,
5584,11,,,https://www.dreamflows.com/xlist-or.php#Site294
5620,10,,,https://www.oregonkayaking.net/creeks/canyon_wash/canyon_wash.html
5634,10,,,https://www.oregonkayaking.net/creeks/rockwash/rockwash.html
5669,10,,,https://www.oregonkayaking.net/rivers/greentruss/greentruss.html
5670,10,,,https://www.oregonkayaking.net/rivers/farmlands/farmlands.html
5676,10,,,https://www.oregonkayaking.net/tales/toolittle.html
5682,10,,,https://www.oregonkayaking.net/rivers/eflewis/eflewis.html
5684,10,,,https://www.oregonkayaking.net/creeks/ucanyon_wash/ucanyon_wash.html
5688,10,,,https://www.oregonkayaking.net/rivers/nfcispus/nfcispus.html
5693,10,,,https://www.oregonkayaking.net/rivers/cispusuu/Cispus.html
5708,10,,,https://www.oregonkayaking.net/rivers/nf_lewis/nf_lewis.html
5715,10,,,https://www.oregonkayaking.net/rivers/cispusss/cispusss.html
5772,4,127,65,
5772,11,,,https://www.dreamflows.com/xlist-or.php#Site538
5773,7,358,81.1,
5774,2,248,185,
5774,3,318,201,
5774,4,325,191,
5774,7,165,37.2,
5774,9,103,,
5774,11,,,https://www.dreamflows.com/xlist-or.php#Site249
