id,reach_id,level,low,low_data_type,high,high_data_type
1366,5712,high,3000.0,flow,,
1367,5715,low,,,2000.0,flow
1368,5715,okay,2000.0,flow,4000.0,flow
1369,5715,high,4000.0,flow,,
1370,5716,low,,,1500.0,flow
1371,5716,okay,1500.0,flow,3000.0,flow
1372,5716,high,3000.0,flow,,
1373,5717,low,,,500.0,flow
1374,5717,okay,500.0,flow,2500.0,flow
1375,5717,high,2500.0,flow,,
1376,5723,low,,,1000.0,flow
1377,5723,okay,1000.0,flow,4000.0,flow
1378,5723,high,4000.0,flow,,
1379,5724,low,,,600.0,flow
1380,5724,okay,600.0,flow,1000.0,flow
1381,5724,high,1000.0,flow,,
1382,5726,low,,,300.0,flow
1383,5726,okay,300.0,flow,700.0,flow
1384,5726,high,700.0,flow,,
1406,5478,low,,,6.0,flow
1407,5478,okay,6.0,flow,12.0,flow
1408,5478,high,12.0,flow,,
1409,5494,low,,,1300.0,flow
1410,5494,okay,1300.0,flow,2100.0,flow
1411,5494,high,2100.0,flow,,
1412,5496,low,,,500.0,flow
1413,5496,okay,500.0,flow,6000.0,flow
1414,5496,high,6000.0,flow,,
1415,5497,low,,,800.0,flow
1416,5497,okay,800.0,flow,1900.0,flow
1417,5497,high,1900.0,flow,,
1424,5511,low,,,3.0,flow
