id,updated_at,gauge_id,name,display_name,sort_name,nature,description,difficulties,basin,basin_area,elevation,elevation_lost,length,gradient,features,latitude,longitude,latitude_start,longitude_start,latitude_end,longitude_end,map_name,no_show,notes,optimal_flow,region,remoteness,scenery,season,watershed_type,aw_id,river,max_gradient,huc,map_only
2111,,734,14048000,John Day,John Day df 04,,Cottonwood to Columbia,,,7580.0,392.27,276.0,39.5,7.0,,45.5876,-120.409,45.477,-120.469,45.7293,-120.651,,0,,,,,,,,10433,,,,0
2114,,737,14044000,MF John Day,John Day 0,,Abv US 395 to Monument,,,515.0,2544.56,876.0,42.1,20.8,,44.8888,-119.141,44.835781,-119.031964,44.814402,-119.424099,,0,,,,,,,,,,,,0
2209,,759,IRGC,Klamath,Klamath ag 08,,Iron Gate to Sarah Totten,,,,,662.0999755859375,48.7,13.600000381469727,,41.93,-122.45,41.930633,-122.442265,41.788288,-123.053263,,0,,,,,,,,233,Klamath,,1801,0
2210,,760,11509500,Klamath,Klamath ag 01,Pool Drop,Keno to Pioneer Park,,,3920.0,3961.0,264.0,7.4,35.79999923706055,dirty from cow shit,42.1332,-121.962,42.133761,-121.948653,42.133509,-122.031892,,0,,2000.0,Southern Oregon,Somewhat Remote,forest/rural,Nov-Apr,,1522,Klamath,,1801,0
2211,,761,11510700,Klamath,Klamath ag 02,Pool Drop,Pioneer to Spring Island,,,4080.0,3274.82,491.29998779296875,6.1,80.5,threatened,42.0846,-122.073,42.133509,-122.031892,42.089098,-122.072251,Klamath,0,,1500.0,Southern Oregon,Somewhat Remote,forest/rural,Jan-Dec,Wild and Scenic,3858,Klamath,,1801,0
2212,,762,11520500,Klamath,Klamath ag 09,,Sarah Totten to Happy Camp,,,6940.0,1320.0,448.20001220703125,35.3,12.699999809265137,,41.8537,-123.232,41.788288,-123.053263,41.789822,-123.378699,,0,,,,,,,,234,Klamath,,1801,0
2213,,763,11530500,Klamath,Klamath ag 14,,Weitchpec to Requa,,,12100.0,,166.10000610351562,42.4,3.9000000953674316,,41.511,-123.98,41.187396,-123.712891,41.544301,-124.071325,,0,,,,,,,,3865,Klamath,,1801,0
2214,,764,11523000,Klamath,Klamath ag 13,,Dolans Bar to Weitchpec,,,8475.0,355.98,202.60000610351562,17.9,11.300000190734863,,41.3035,-123.535,41.318301,-123.524224,41.187396,-123.712891,,0,,,,,,,,236,Klamath,,1801,0
2219,,766,PITW,Klickitat River,Klickitat 1,Pool Drop,,,Columbia,1297.0,288.9,220.0,11.0,20.0,great surfing,45.7565,-121.21,45.809299468994,-120.92400360107,45.845798492432,-121.06099700928,Klickitat.WA,0,,750.0,Southern Washington,Not Remote,forest/houses,Jan-Dec,,,,,,0
2223,,767,14107000,Klickitat River,Klickitat 0,,,,,151.0,2720.0,,,,,46.2648,-121.245,,,,,,0,,,,,,,,,,,,0
2379,,815,HSSW,EF Lewis River,Lewis ac 0,,,,,125.0,356.8,65.0,3.0,21.7,,45.8368,-122.466,45.812328338623,-122.54250335693,45.814292907715,-122.58856201172,,0,,,,,,,,,,,,0
2401,,818,11507500,Link River,Link,,,,,3810.0,4083.71,,,,,42.2235,-121.794,42.231955,-121.800626,42.218233,-121.788556,,0,,,,,,,,11613,,,,0
2428,,839,Klickitat ac,Little Klickitat River,Klickitat 2,,,,,,,868.0,9.8,88.2,,,,45.809299468994,-120.92400360107,45.845798492432,-121.06099700928,,0,,250.0,Southern Washington,,,Feb-Apr,,2153,,,,0
2448,,850,LOCI,Lochsa,Lochsa 0,"Big river, boulder gardens, road",,,Clearwater,1180.0,1452.98,,26.0,37.0,,46.1508,-115.587,46.348056793213,-115.35944366455,46.333476351819,-115.34819255916,,0,,3.0,,,,Apr-Jul,,,,,,0
2469,2026-04-17 21:30:35,857,UMNRO,Long Tom,Long Tom c aa 0,Pool Drop,Fern Ridge to Willamette,,Willamette,391.0,339.46,86.3,23.5,3.7,low head dams class VI,44.273932,-123.28391,44.12143595776675,-123.30060276767509,44.380119724132285,-123.24853847817927,LongTom.lower,0,"https://www.longtom.org/water/
https://storymaps.arcgis.com/stories/67e9eca2ac0d45959f03e6ce0e3a37f8",100.0,Middle Willamette,Not Remote,rural/channelized,Jan-Dec,,,Long Tom,,,0
2532,,,Luckiamute aa,Little Luckiamute,Luckiamute ag 01,Continous,Socialist Valley Rd to Falls City,,Willamette,,,255.89999389648438,2.7,93.80000305175781,,,,44.872309,-123.495943,44.869932,-123.451122,,0,,,Central Coast,Not Very Remote,wooded,,,,Luckiamute,,,0
2533,,878,SUVO,Luckiamute,Luckiamute ag 03,,Helmick to Willamette,,Willamette,240.0,171.92,27.100000381469727,15.4,1.7999999523162842,,44.7832,-123.235,44.78038,-123.238541,44.768341,-123.146822,,0,,500.0,Middle Willamette,Not Remote,wooded,Nov-Apr,,,Luckiamute,,,0
